x,beta,se,outcome,iter,placebo
3,7.594373016701912,NA,tin_roof_area,39,1
0,0,0,tin_roof_area,40,1
1,2.7454297950305167,NA,tin_roof_area,40,1
2,12.675585733478833,NA,tin_roof_area,40,1
3,5.13927665245682,NA,tin_roof_area,40,1
0,0,0,tin_roof_area,41,1
1,-2.607893876517264,NA,tin_roof_area,41,1
2,-0.4963727837585389,NA,tin_roof_area,41,1
3,-9.143559776883881,NA,tin_roof_area,41,1
0,0,0,tin_roof_area,42,1
1,-2.4823413892345254,NA,tin_roof_area,42,1
2,-5.432146843065906,NA,tin_roof_area,42,1
3,-3.7069678043464895,NA,tin_roof_area,42,1
0,0,0,tin_roof_area,43,1
1,2.97313119018695,NA,tin_roof_area,43,1
2,-3.1278593443940004,NA,tin_roof_area,43,1
3,-6.97644751649149,NA,tin_roof_area,43,1
0,0,0,tin_roof_area,44,1
1,0.48267864421312584,NA,tin_roof_area,44,1
2,-8.584510674906753,NA,tin_roof_area,44,1
3,5.818840420427398,NA,tin_roof_area,44,1
0,0,0,tin_roof_area,45,1
1,6.706355071660641,NA,tin_roof_area,45,1
2,8.927112874061553,NA,tin_roof_area,45,1
3,7.746158472492251,NA,tin_roof_area,45,1
0,0,0,tin_roof_area,46,1
1,-0.161429879682707,NA,tin_roof_area,46,1
2,-0.3010882131400281,NA,tin_roof_area,46,1
3,2.592453475583037,NA,tin_roof_area,46,1
0,0,0,tin_roof_area,47,1
1,-3.860198133287983,NA,tin_roof_area,47,1
2,-3.938141674875009,NA,tin_roof_area,47,1
3,-5.042934907459922,NA,tin_roof_area,47,1
0,0,0,tin_roof_area,48,1
1,-5.888007885867385,NA,tin_roof_area,48,1
2,-8.599179863825041,NA,tin_roof_area,48,1
3,3.497867241870027,NA,tin_roof_area,48,1
0,0,0,tin_roof_area,49,1
1,-7.202532465686046,NA,tin_roof_area,49,1
2,1.8334851760680801,NA,tin_roof_area,49,1
3,-6.9884309631723545,NA,tin_roof_area,49,1
0,0,0,tin_roof_area,50,1
1,2.5513061049467,NA,tin_roof_area,50,1
2,6.537948685376139,NA,tin_roof_area,50,1
3,2.1198956387019603,NA,tin_roof_area,50,1
0,0,0,tin_roof_area,51,1
